Sqtl chromosome,Sqtl position,Gene chromosome,Gene start,Gene end,Gene
6,53512193,6,53497341,53616970,ENSG00000001084
6,53514607,6,53497341,53616970,ENSG00000001084
6,53519377,6,53497341,53616970,ENSG00000001084
6,53512821,6,53497341,53616970,ENSG00000001084
6,53513036,6,53497341,53616970,ENSG00000001084
1,24387906,1,24356999,24416934,ENSG00000001460
1,24390039,1,24356999,24416934,ENSG00000001460
1,24391585,1,24356999,24416934,ENSG00000001460
1,24400745,1,24356999,24416934,ENSG00000001460
1,24403874,1,24356999,24416934,ENSG00000001460
1,24405247,1,24356999,24416934,ENSG00000001460
1,24406098,1,24356999,24416934,ENSG00000001460
1,24406116,1,24356999,24416934,ENSG00000001460
1,24406364,1,24356999,24416934,ENSG00000001460
1,24412001,1,24356999,24416934,ENSG00000001460
1,24413255,1,24356999,24416934,ENSG00000001460
1,24413283,1,24356999,24416934,ENSG00000001460
1,24414223,1,24356999,24416934,ENSG00000001460
1,24414591,1,24356999,24416934,ENSG00000001460
1,24416496,1,24356999,24416934,ENSG00000001460
1,24419715,1,24356999,24416934,ENSG00000001460
1,24421134,1,24356999,24416934,ENSG00000001460
1,24421192,1,24356999,24416934,ENSG00000001460
1,24403742,1,24356999,24416934,ENSG00000001460
1,24372962,1,24356999,24416934,ENSG00000001460
1,24374500,1,24356999,24416934,ENSG00000001460
1,24374840,1,24356999,24416934,ENSG00000001460
1,24395908,1,24356999,24416934,ENSG00000001460
1,24378009,1,24356999,24416934,ENSG00000001460
1,24412730,1,24356999,24416934,ENSG00000001460
1,24419125,1,24356999,24416934,ENSG00000001460
1,24388945,1,24356999,24416934,ENSG00000001460
1,24389338,1,24356999,24416934,ENSG00000001460
1,24397215,1,24356999,24416934,ENSG00000001460
1,24379077,1,24356999,24416934,ENSG00000001460
1,24379623,1,24356999,24416934,ENSG00000001460
1,24379920,1,24356999,24416934,ENSG00000001460
1,24379971,1,24356999,24416934,ENSG00000001460
1,24377031,1,24356999,24416934,ENSG00000001460
1,24377177,1,24356999,24416934,ENSG00000001460
1,24377773,1,24356999,24416934,ENSG00000001460
1,24379779,1,24356999,24416934,ENSG00000001460
1,24379948,1,24356999,24416934,ENSG00000001460
1,24378604,1,24356999,24416934,ENSG00000001460
1,24380721,1,24356999,24416934,ENSG00000001460
1,24380806,1,24356999,24416934,ENSG00000001460
1,24381139,1,24356999,24416934,ENSG00000001460
1,24381179,1,24356999,24416934,ENSG00000001460
1,24381195,1,24356999,24416934,ENSG00000001460
1,24381393,1,24356999,24416934,ENSG00000001460
1,24381814,1,24356999,24416934,ENSG00000001460
1,24382250,1,24356999,24416934,ENSG00000001460
1,24354175,1,24356999,24416934,ENSG00000001460
1,24382714,1,24356999,24416934,ENSG00000001460
1,24354425,1,24356999,24416934,ENSG00000001460
1,24370402,1,24356999,24416934,ENSG00000001460
1,24359245,1,24356999,24416934,ENSG00000001460
1,24355711,1,24356999,24416934,ENSG00000001460
1,24379802,1,24356999,24416934,ENSG00000001460
1,24373382,1,24356999,24416934,ENSG00000001460
1,24371556,1,24356999,24416934,ENSG00000001460
1,24382393,1,24356999,24416934,ENSG00000001460
1,24367599,1,24356999,24416934,ENSG00000001460
1,24368661,1,24356999,24416934,ENSG00000001460
1,24373099,1,24356999,24416934,ENSG00000001460
1,24367937,1,24356999,24416934,ENSG00000001460
1,24368624,1,24356999,24416934,ENSG00000001460
1,24369259,1,24356999,24416934,ENSG00000001460
1,24393856,1,24356999,24416934,ENSG00000001460
1,24401188,1,24356999,24416934,ENSG00000001460
X,2697482,Y,2691187,2741309,ENSG00000002586
X,2709788,Y,2691187,2741309,ENSG00000002586
X,2710160,Y,2691187,2741309,ENSG00000002586
X,2710950,Y,2691187,2741309,ENSG00000002586
X,2712340,Y,2691187,2741309,ENSG00000002586
X,2714148,Y,2691187,2741309,ENSG00000002586
X,2715253,Y,2691187,2741309,ENSG00000002586
X,2711037,Y,2691187,2741309,ENSG00000002586
X,2697338,Y,2691187,2741309,ENSG00000002586
X,2706483,Y,2691187,2741309,ENSG00000002586
X,2709310,Y,2691187,2741309,ENSG00000002586
X,2709697,Y,2691187,2741309,ENSG00000002586
X,2713400,Y,2691187,2741309,ENSG00000002586
X,2713459,Y,2691187,2741309,ENSG00000002586
X,2714231,Y,2691187,2741309,ENSG00000002586
X,2714781,Y,2691187,2741309,ENSG00000002586
X,2695238,Y,2691187,2741309,ENSG00000002586
X,2693204,Y,2691187,2741309,ENSG00000002586
X,2694753,Y,2691187,2741309,ENSG00000002586
X,2696226,Y,2691187,2741309,ENSG00000002586
X,2715433,Y,2691187,2741309,ENSG00000002586
X,2692243,Y,2691187,2741309,ENSG00000002586
X,2692265,Y,2691187,2741309,ENSG00000002586
X,2692668,Y,2691187,2741309,ENSG00000002586
X,2710281,Y,2691187,2741309,ENSG00000002586
X,2715210,Y,2691187,2741309,ENSG00000002586
X,2712480,Y,2691187,2741309,ENSG00000002586
X,2715566,Y,2691187,2741309,ENSG00000002586
X,2715760,Y,2691187,2741309,ENSG00000002586
X,2715583,Y,2691187,2741309,ENSG00000002586
X,2691037,Y,2691187,2741309,ENSG00000002586
X,2712422,Y,2691187,2741309,ENSG00000002586
X,2715792,Y,2691187,2741309,ENSG00000002586
X,2710438,Y,2691187,2741309,ENSG00000002586
X,2704624,Y,2691187,2741309,ENSG00000002586
X,2714441,Y,2691187,2741309,ENSG00000002586
X,2698851,Y,2691187,2741309,ENSG00000002586
7,150807752,7,150800403,150805118,ENSG00000002933
7,150800957,7,150800403,150805118,ENSG00000002933
7,150801721,7,150800403,150805118,ENSG00000002933
7,150803432,7,150800403,150805118,ENSG00000002933
7,150800839,7,150800403,150805118,ENSG00000002933
7,150803906,7,150800403,150805118,ENSG00000002933
12,8938520,12,8940361,8949761,ENSG00000003056
12,8946937,12,8940361,8949761,ENSG00000003056
12,8952013,12,8940361,8949761,ENSG00000003056
12,8953327,12,8940361,8949761,ENSG00000003056
12,8936676,12,8940361,8949761,ENSG00000003056
12,8936749,12,8940361,8949761,ENSG00000003056
12,8938597,12,8940361,8949761,ENSG00000003056
12,8952343,12,8940361,8949761,ENSG00000003056
12,8940405,12,8940361,8949761,ENSG00000003056
12,8943153,12,8940361,8949761,ENSG00000003056
12,8937490,12,8940361,8949761,ENSG00000003056
12,8938263,12,8940361,8949761,ENSG00000003056
12,8938296,12,8940361,8949761,ENSG00000003056
12,8941952,12,8940361,8949761,ENSG00000003056
12,8951069,12,8940361,8949761,ENSG00000003056
12,8936257,12,8940361,8949761,ENSG00000003056
12,8944927,12,8940361,8949761,ENSG00000003056
12,8949979,12,8940361,8949761,ENSG00000003056
12,8951246,12,8940361,8949761,ENSG00000003056
12,8948541,12,8940361,8949761,ENSG00000003056
12,8950652,12,8940361,8949761,ENSG00000003056
12,8943309,12,8940361,8949761,ENSG00000003056
12,8945199,12,8940361,8949761,ENSG00000003056
12,8942630,12,8940361,8949761,ENSG00000003056
12,8942874,12,8940361,8949761,ENSG00000003056
12,8944638,12,8940361,8949761,ENSG00000003056
12,8944960,12,8940361,8949761,ENSG00000003056
12,8946438,12,8940361,8949761,ENSG00000003056
2,201117821,2,201116154,201176687,ENSG00000003402
2,201120638,2,201116154,201176687,ENSG00000003402
2,201123515,2,201116154,201176687,ENSG00000003402
2,201127684,2,201116154,201176687,ENSG00000003402
2,201128965,2,201116154,201176687,ENSG00000003402
2,201132569,2,201116154,201176687,ENSG00000003402
2,201134560,2,201116154,201176687,ENSG00000003402
2,201134827,2,201116154,201176687,ENSG00000003402
2,201135122,2,201116154,201176687,ENSG00000003402
2,201135706,2,201116154,201176687,ENSG00000003402
2,201138287,2,201116154,201176687,ENSG00000003402
2,201138447,2,201116154,201176687,ENSG00000003402
2,201139044,2,201116154,201176687,ENSG00000003402
2,201139467,2,201116154,201176687,ENSG00000003402
2,201141373,2,201116154,201176687,ENSG00000003402
2,201142137,2,201116154,201176687,ENSG00000003402
2,201143575,2,201116154,201176687,ENSG00000003402
2,201143977,2,201116154,201176687,ENSG00000003402
2,201145903,2,201116154,201176687,ENSG00000003402
2,201147345,2,201116154,201176687,ENSG00000003402
2,201147640,2,201116154,201176687,ENSG00000003402
2,201149233,2,201116154,201176687,ENSG00000003402
2,201149515,2,201116154,201176687,ENSG00000003402
2,201150305,2,201116154,201176687,ENSG00000003402
2,201150391,2,201116154,201176687,ENSG00000003402
2,201150527,2,201116154,201176687,ENSG00000003402
2,201151562,2,201116154,201176687,ENSG00000003402
2,201152357,2,201116154,201176687,ENSG00000003402
2,201152924,2,201116154,201176687,ENSG00000003402
2,201152951,2,201116154,201176687,ENSG00000003402
2,201153137,2,201116154,201176687,ENSG00000003402
2,201154371,2,201116154,201176687,ENSG00000003402
2,201154487,2,201116154,201176687,ENSG00000003402
2,201156772,2,201116154,201176687,ENSG00000003402
2,201157024,2,201116154,201176687,ENSG00000003402
2,201158996,2,201116154,201176687,ENSG00000003402
2,201159120,2,201116154,201176687,ENSG00000003402
2,201160898,2,201116154,201176687,ENSG00000003402
2,201161968,2,201116154,201176687,ENSG00000003402
2,201165080,2,201116154,201176687,ENSG00000003402
2,201166481,2,201116154,201176687,ENSG00000003402
2,201166793,2,201116154,201176687,ENSG00000003402
2,201166975,2,201116154,201176687,ENSG00000003402
2,201167084,2,201116154,201176687,ENSG00000003402
2,201167448,2,201116154,201176687,ENSG00000003402
2,201168599,2,201116154,201176687,ENSG00000003402
2,201168681,2,201116154,201176687,ENSG00000003402
2,201173526,2,201116154,201176687,ENSG00000003402
2,201167704,2,201116154,201176687,ENSG00000003402
2,201157804,2,201116154,201176687,ENSG00000003402
2,201158437,2,201116154,201176687,ENSG00000003402
2,201179509,2,201116154,201176687,ENSG00000003402
2,201179779,2,201116154,201176687,ENSG00000003402
2,201176201,2,201116154,201176687,ENSG00000003402
2,201148412,2,201116154,201176687,ENSG00000003402
2,37253106,2,37231631,37253403,ENSG00000003509
2,37237287,2,37231631,37253403,ENSG00000003509
2,37238763,2,37231631,37253403,ENSG00000003509
2,37239539,2,37231631,37253403,ENSG00000003509
2,37254839,2,37231631,37253403,ENSG00000003509
2,37257572,2,37231631,37253403,ENSG00000003509
2,37250100,2,37231631,37253403,ENSG00000003509
2,37233557,2,37231631,37253403,ENSG00000003509
2,37234330,2,37231631,37253403,ENSG00000003509
2,37232527,2,37231631,37253403,ENSG00000003509
2,37231568,2,37231631,37253403,ENSG00000003509
2,37238166,2,37231631,37253403,ENSG00000003509
2,37252613,2,37231631,37253403,ENSG00000003509
2,37255312,2,37231631,37253403,ENSG00000003509
2,37258072,2,37231631,37253403,ENSG00000003509
2,37239703,2,37231631,37253403,ENSG00000003509
2,37239741,2,37231631,37253403,ENSG00000003509
2,37233996,2,37231631,37253403,ENSG00000003509
2,37234643,2,37231631,37253403,ENSG00000003509
2,37247971,2,37231631,37253403,ENSG00000003509
2,37227075,2,37231631,37253403,ENSG00000003509
2,37257583,2,37231631,37253403,ENSG00000003509
2,37227143,2,37231631,37253403,ENSG00000003509
2,37248833,2,37231631,37253403,ENSG00000003509
2,37233091,2,37231631,37253403,ENSG00000003509
2,37233444,2,37231631,37253403,ENSG00000003509
2,37236499,2,37231631,37253403,ENSG00000003509
2,37241421,2,37231631,37253403,ENSG00000003509
2,37235085,2,37231631,37253403,ENSG00000003509
2,37240121,2,37231631,37253403,ENSG00000003509
2,37246512,2,37231631,37253403,ENSG00000003509
2,37250651,2,37231631,37253403,ENSG00000003509
2,37252719,2,37231631,37253403,ENSG00000003509
2,37237368,2,37231631,37253403,ENSG00000003509
2,37238286,2,37231631,37253403,ENSG00000003509
2,37243367,2,37231631,37253403,ENSG00000003509
2,37245661,2,37231631,37253403,ENSG00000003509
2,37236477,2,37231631,37253403,ENSG00000003509
4,15795712,4,15778275,15853232,ENSG00000004468
4,15796081,4,15778275,15853232,ENSG00000004468
4,15796383,4,15778275,15853232,ENSG00000004468
4,15801642,4,15778275,15853232,ENSG00000004468
4,15801915,4,15778275,15853232,ENSG00000004468
4,15805337,4,15778275,15853232,ENSG00000004468
4,15805496,4,15778275,15853232,ENSG00000004468
4,15806133,4,15778275,15853232,ENSG00000004468
4,15807105,4,15778275,15853232,ENSG00000004468
4,15808351,4,15778275,15853232,ENSG00000004468
4,15809653,4,15778275,15853232,ENSG00000004468
4,15809750,4,15778275,15853232,ENSG00000004468
4,15809909,4,15778275,15853232,ENSG00000004468
4,15810995,4,15778275,15853232,ENSG00000004468
4,15811044,4,15778275,15853232,ENSG00000004468
4,15796448,4,15778275,15853232,ENSG00000004468
4,15797584,4,15778275,15853232,ENSG00000004468
4,15804025,4,15778275,15853232,ENSG00000004468
4,15788991,4,15778275,15853232,ENSG00000004468
4,15810834,4,15778275,15853232,ENSG00000004468
4,15811668,4,15778275,15853232,ENSG00000004468
4,15796762,4,15778275,15853232,ENSG00000004468
4,15797122,4,15778275,15853232,ENSG00000004468
4,15797320,4,15778275,15853232,ENSG00000004468
4,15785591,4,15778275,15853232,ENSG00000004468
4,15785750,4,15778275,15853232,ENSG00000004468
4,15785819,4,15778275,15853232,ENSG00000004468
4,15786061,4,15778275,15853232,ENSG00000004468
4,15786088,4,15778275,15853232,ENSG00000004468
4,15786175,4,15778275,15853232,ENSG00000004468
4,15786557,4,15778275,15853232,ENSG00000004468
4,15786848,4,15778275,15853232,ENSG00000004468
4,15786860,4,15778275,15853232,ENSG00000004468
4,15786985,4,15778275,15853232,ENSG00000004468
4,15787096,4,15778275,15853232,ENSG00000004468
4,15787262,4,15778275,15853232,ENSG00000004468
4,15787436,4,15778275,15853232,ENSG00000004468
4,15787694,4,15778275,15853232,ENSG00000004468
4,15789022,4,15778275,15853232,ENSG00000004468
4,15789064,4,15778275,15853232,ENSG00000004468
4,15789841,4,15778275,15853232,ENSG00000004468
4,15792663,4,15778275,15853232,ENSG00000004468
19,35790232,19,35774532,35788822,ENSG00000004777
19,35790258,19,35774532,35788822,ENSG00000004777
19,35790701,19,35774532,35788822,ENSG00000004777
19,35790836,19,35774532,35788822,ENSG00000004777
19,35791498,19,35774532,35788822,ENSG00000004777
7,26725977,7,26667068,26995239,ENSG00000005020
7,26726368,7,26667068,26995239,ENSG00000005020
7,26724802,7,26667068,26995239,ENSG00000005020
16,30474072,16,30472658,30523567,ENSG00000005844
16,30471173,16,30472658,30523567,ENSG00000005844
16,30471219,16,30472658,30523567,ENSG00000005844
16,30471482,16,30472658,30523567,ENSG00000005844
16,30489664,16,30472658,30523567,ENSG00000005844
16,30484091,16,30472658,30523567,ENSG00000005844
16,30484336,16,30472658,30523567,ENSG00000005844
17,50101957,17,50094737,50112152,ENSG00000005882
17,50104396,17,50094737,50112152,ENSG00000005882
17,50108767,17,50094737,50112152,ENSG00000005882
17,50106924,17,50094737,50112152,ENSG00000005882
17,50111615,17,50094737,50112152,ENSG00000005882
17,50112589,17,50094737,50112152,ENSG00000005882
17,50107013,17,50094737,50112152,ENSG00000005882
17,50106372,17,50094737,50112152,ENSG00000005882
17,50106413,17,50094737,50112152,ENSG00000005882
17,50095415,17,50094737,50112152,ENSG00000005882
17,50110520,17,50094737,50112152,ENSG00000005882
17,50105652,17,50094737,50112152,ENSG00000005882
11,60940424,11,60924460,60937159,ENSG00000006118
11,60934282,11,60924460,60937159,ENSG00000006118
11,60934448,11,60924460,60937159,ENSG00000006118
